h1,h2,h3,h4
12.27353601,12.77521204,1.633948073,1.409040205
12.27336687,12.77529958,1.633947768,1.409040354
12.27320042,12.77538616,1.633947477,1.409040499
12.27303663,12.77547179,1.633947198,1.409040639
12.27287545,12.77555648,1.633946931,1.409040774
12.27271684,12.77564024,1.633946677,1.409040904
12.27256077,12.77572308,1.633946433,1.40904103
12.27240719,12.77580501,1.6339462,1.409041152
12.27225605,12.77588604,1.633945978,1.40904127
12.27210733,12.77596618,1.633945765,1.409041385
12.27196099,12.77604544,1.633945561,1.409041495
12.27181698,12.77612383,1.633945367,1.409041601
12.27167528,12.77620135,1.633945181,1.409041704
12.27153583,12.77627803,1.633945003,1.409041804
12.27139862,12.77635386,1.633944833,1.4090419
12.27126359,12.77642885,1.63394467,1.409041994
12.27113073,12.77650303,1.633944515,1.409042084
12.27099999,12.77657638,1.633944366,1.409042171
12.27087133,12.77664893,1.633944224,1.409042255
12.27074474,12.77672068,1.633944088,1.409042336
12.27062016,12.77679165,1.633943958,1.409042415
12.27049758,12.77686183,1.633943834,1.409042491
12.27037696,12.77693124,1.633943715,1.409042564
12.27025827,12.77699989,1.633943602,1.409042635
12.27014147,12.77706778,1.633943493,1.409042704
12.27002654,12.77713492,1.63394339,1.40904277
12.26991345,12.77720133,1.633943291,1.409042835
12.26980217,12.777267,1.633943196,1.409042897
12.26969267,12.77733195,1.633943105,1.409042957
12.26958492,12.77739619,1.633943018,1.409043015
12.26947889,12.77745972,1.633942935,1.409043071
12.26937457,12.77752255,1.633942856,1.409043125
12.2692719,12.77758469,1.633942781,1.409043178
12.26917089,12.77764615,1.633942708,1.409043228
12.26907149,12.77770693,1.633942639,1.409043277
12.26897368,12.77776704,1.633942573,1.409043325
12.26887743,12.77782648,1.633942509,1.40904337
12.26878272,12.77788528,1.633942449,1.409043415
12.26868954,12.77794342,1.633942391,1.409043457
12.26859784,12.77800093,1.633942336,1.409043499
12.26850761,12.7780578,1.633942283,1.409043539
12.26841882,12.77811405,1.633942232,1.409043578
12.26833146,12.77816967,1.633942184,1.409043615
12.26824549,12.77822469,1.633942138,1.409043651
12.2681609,12.7782791,1.633942094,1.409043686
12.26807767,12.7783329,1.633942051,1.40904372
12.26799577,12.77838612,1.633942011,1.409043752
12.26791517,12.77843875,1.633941972,1.409043784
12.26783587,12.7784908,1.633941935,1.409043815
12.26775784,12.77854228,1.6339419,1.409043844
12.26768106,12.77859319,1.633941866,1.409043873
12.26760551,12.77864353,1.633941834,1.4090439
12.26753117,12.77869333,1.633941803,1.409043927
12.26745802,12.77874257,1.633941774,1.409043953
12.26738604,12.77879128,1.633941746,1.409043978
12.26731521,12.77883944,1.633941719,1.409044002
12.26724552,12.77888708,1.633941693,1.409044025
12.26717695,12.77893419,1.633941668,1.409044047
12.26710947,12.77898078,1.633941645,1.409044069
12.26704307,12.77902686,1.633941622,1.40904409
12.26697774,12.77907243,1.633941601,1.409044111
12.26691345,12.77911749,1.63394158,1.40904413
12.2668502,12.77916207,1.63394156,1.409044149
12.26678796,12.77920615,1.633941542,1.409044168
12.26672671,12.77924974,1.633941524,1.409044185
12.26666645,12.77929285,1.633941506,1.409044203
12.26660715,12.77933549,1.63394149,1.409044219
12.2665488,12.77937766,1.633941474,1.409044235
12.26649139,12.77941936,1.633941459,1.409044251
12.26643489,12.77946061,1.633941445,1.409044266
12.2663793,12.7795014,1.633941431,1.40904428
12.26632461,12.77954174,1.633941418,1.409044294
12.26627078,12.77958163,1.633941405,1.409044308
12.26621783,12.77962109,1.633941393,1.409044321
12.26616572,12.77966011,1.633941382,1.409044334
12.26611444,12.7796987,1.633941371,1.409044346
12.26606399,12.77973686,1.633941361,1.409044358
12.26601434,12.7797746,1.633941351,1.409044369
12.26596549,12.77981193,1.633941341,1.40904438
12.26591743,12.77984885,1.633941332,1.409044391
12.26587013,12.77988536,1.633941323,1.409044401
12.26582359,12.77992146,1.633941315,1.409044411
12.2657778,12.77995717,1.633941307,1.409044421
12.26573274,12.77999249,1.633941299,1.40904443
12.26568841,12.78002741,1.633941292,1.40904444
12.26564478,12.78006195,1.633941285,1.409044448
12.26560186,12.78009611,1.633941278,1.409044457
12.26555962,12.78012989,1.633941272,1.409044465
12.26551806,12.7801633,1.633941265,1.409044473
12.26547716,12.78019635,1.63394126,1.40904448
12.26543692,12.78022902,1.633941254,1.409044488
12.26539733,12.78026134,1.633941249,1.409044495
12.26535837,12.7802933,1.633941244,1.409044502
12.26532003,12.78032491,1.633941239,1.409044509
12.26528231,12.78035617,1.633941234,1.409044515
12.2652452,12.78038708,1.633941229,1.409044521
12.26520868,12.78041766,1.633941225,1.409044527
12.26517274,12.78044789,1.633941221,1.409044533
12.26513738,12.7804778,1.633941217,1.409044539
12.26510259,12.78050737,1.633941213,1.409044544
12.26506835,12.78053662,1.63394121,1.409044549
12.26503467,12.78056554,1.633941207,1.409044554
12.26500152,12.78059415,1.633941203,1.409044559
12.26496891,12.78062244,1.6339412,1.409044564
12.26493681,12.78065042,1.633941197,1.409044569
12.26490524,12.78067808,1.633941194,1.409044573
12.26487417,12.78070545,1.633941192,1.409044577
12.26484359,12.78073251,1.633941189,1.409044582
12.26481351,12.78075928,1.633941186,1.409044586
12.26478391,12.78078574,1.633941184,1.40904459
12.26475478,12.78081192,1.633941182,1.409044593
12.26472612,12.78083781,1.63394118,1.409044597
12.26469792,12.78086341,1.633941178,1.4090446
12.26467018,12.78088873,1.633941176,1.409044604
12.26464287,12.78091377,1.633941174,1.409044607
12.26461601,12.78093854,1.633941172,1.40904461
12.26458958,12.78096303,1.63394117,1.409044613
12.26456356,12.78098725,1.633941168,1.409044616
12.26453797,12.78101121,1.633941167,1.409044619
12.26451279,12.7810349,1.633941165,1.409044622
12.26448801,12.78105832,1.633941164,1.409044625
12.26446363,12.78108149,1.633941162,1.409044627
12.26443964,12.78110441,1.633941161,1.40904463
12.26441603,12.78112707,1.63394116,1.409044632
12.2643928,12.78114948,1.633941159,1.409044634
12.26436995,12.78117165,1.633941158,1.409044637
12.26434746,12.78119357,1.633941156,1.409044639
12.26432533,12.78121525,1.633941155,1.409044641
12.26430356,12.78123668,1.633941154,1.409044643
12.26428213,12.78125789,1.633941153,1.409044645
12.26426105,12.78127886,1.633941152,1.409044647
12.26424031,12.78129959,1.633941152,1.409044649
12.2642199,12.7813201,1.633941151,1.409044651
12.26419981,12.78134039,1.63394115,1.409044652
12.26418005,12.78136044,1.633941149,1.409044654
12.26416061,12.78138028,1.633941148,1.409044656
12.26414148,12.7813999,1.633941148,1.409044657
12.26412265,12.7814193,1.633941147,1.409044659
12.26410413,12.78143849,1.633941146,1.40904466
12.2640859,12.78145747,1.633941146,1.409044662
12.26406797,12.78147623,1.633941145,1.409044663
12.26405032,12.78149479,1.633941145,1.409044664
12.26403296,12.78151315,1.633941144,1.409044665
12.26401587,12.7815313,1.633941144,1.409044667
12.26399906,12.78154925,1.633941143,1.409044668
12.26398252,12.78156701,1.633941143,1.409044669
12.26396624,12.78158457,1.633941142,1.40904467
12.26395022,12.78160193,1.633941142,1.409044671
12.26393447,12.78161911,1.633941141,1.409044672
12.26391896,12.78163609,1.633941141,1.409044673
12.2639037,12.78165289,1.63394114,1.409044674
12.26388869,12.7816695,1.63394114,1.409044675
12.26387392,12.78168592,1.63394114,1.409044676
12.26385938,12.78170217,1.633941139,1.409044677
12.26384508,12.78171824,1.633941139,1.409044678
12.26383101,12.78173413,1.633941139,1.409044679
12.26381716,12.78174984,1.633941139,1.409044679
12.26380353,12.78176538,1.633941138,1.40904468
12.26379013,12.78178075,1.633941138,1.409044681
12.26377694,12.78179596,1.633941138,1.409044682
12.26376396,12.78181099,1.633941137,1.409044682
12.26375118,12.78182585,1.633941137,1.409044683
12.26373862,12.78184056,1.633941137,1.409044684
12.26372625,12.7818551,1.633941137,1.409044684
12.26371408,12.78186948,1.633941137,1.409044685
12.26370211,12.7818837,1.633941136,1.409044686
12.26369033,12.78189776,1.633941136,1.409044686
12.26367874,12.78191167,1.633941136,1.409044687
12.26366733,12.78192543,1.633941136,1.409044687
